RBD,DV_RBD,NOMBRE_ESTABLECIMIENTO,DEPENDENCIA,AREA,COD_REGION,COD_PROV,COD_COM_EST,COMUNA,PRIMERA_PRIORIDAD,SEGUNDA_PRIORIDAD,TERCERA_PRIORIDAD,NO_VULNERABLES,SIN_INFORMACION,TOTAL_MATRICULA_2015,IVE_SINAE_2016
24713,8,COLEGIO EL BOSQUE PROVINCIA CORDILLERA,PARTICULAR SUBVENCIONADO,URBANO,13,132,13201,PUENTE ALTO,23,5,25,113,28,194,27.3
24714,6,COLEGIO SANTO TOMAS,PARTICULAR SUBVENCIONADO,URBANO,13,131,13112,LA PINTANA,57,5,26,15,2,105,83.8
24717,0,COLEGIO NUESTRA SENORA DE GUADALUPE,PARTICULAR SUBVENCIONADO,URBANO,13,131,13111,LA GRANJA,61,9,19,47,1,137,65.0
24721,9,COLEGIO LEONARDO DA VINCI DE LAS CONDES,MUNICIPAL - CORPORACIÓN,URBANO,13,131,13114,LAS CONDES,39,3,27,79,14,162,42.6
24730,8,COLEGIO ADVENTISTA SANTIAGO PONIENTE,PARTICULAR SUBVENCIONADO,URBANO,13,131,13117,LO PRADO,57,17,12,47,2,135,63.7
24733,2,COLEGIO SAN ANDRES DE COLINA,PARTICULAR SUBVENCIONADO,URBANO,13,133,13301,COLINA,349,33,78,133,6,599,76.8
24751,0,COMPLEJO EDUC. EDUARDO CUEVAS VALDES,MUNICIPAL - DAEM,URBANO,13,131,13115,LO BARNECHEA,143,59,66,137,0,405,66.2
24756,1,COLEGIO NAZARET DE LA FLORIDA,PARTICULAR SUBVENCIONADO,URBANO,13,131,13110,LA FLORIDA,70,14,37,147,5,273,44.3
24759,6,ESC.NUESTRA SENORA DEL CARMEN DE CURACAV,PARTICULAR SUBVENCIONADO,URBANO,13,135,13503,CURACAVÍ,52,3,28,14,0,97,85.6
24766,9,COLEGIO ALMENDRAL,PARTICULAR SUBVENCIONADO,URBANO,13,131,13110,LA FLORIDA,51,18,24,66,7,166,56.0
24767,7,COLEGIO EL SEMBRADOR ANEXO 2,PARTICULAR SUBVENCIONADO,URBANO,13,132,13201,PUENTE ALTO,125,3,65,184,13,390,49.5
24769,3,COLEGIO SAN ISAAC JOGUES,PARTICULAR SUBVENCIONADO,URBANO,13,131,13125,QUILICURA,38,12,38,67,1,156,56.4
24789,8,COLEGIO MONTEVERDE ANEXO,PARTICULAR SUBVENCIONADO,URBANO,13,131,13122,PEÑALOLÉN,127,30,71,96,9,333,68.5
24790,1,COLEGIO EL PRADO,PARTICULAR SUBVENCIONADO,URBANO,13,131,13124,PUDAHUEL,42,23,16,50,13,144,56.3
24800,2,COLEGIO FLORIDA HIGH SCHOOL,PARTICULAR SUBVENCIONADO,URBANO,13,131,13110,LA FLORIDA,27,15,15,74,31,162,35.2
24812,6,COLEGIO POLIV. SAN JOSE DE RENCA,PARTICULAR SUBVENCIONADO,URBANO,13,131,13128,RENCA,89,27,36,65,1,218,69.7
